Smartfilters,Group / Team,,,Asset Type,,,,Product,,,,,,,,Details,,,,Campaign,,Year,,,,,,,Remove,,
Metaproperties,Group,Client Team (brand),Dependency,Asset Type,Asset Subtype,Dependency,File Extension,Product Group,Dependency (on Client Team),Product,Dependency (on Client Team),Product Subtype,Dependency (on Product),Product Size,Dependency (on Product Group),Sport,Person,Gender,Number of People,Campaign,Dependency (on brand),Year,Platform Rights,Job ID,Shot Type,Market,Team Marks,Asset Status,Asset Quality,Product Gender,Dependency (on brand)
,,,,,,,,,,574,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,990,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,247,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,775,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SD 100,New Balance,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gatorlytes,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Carb Energy Chews,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Endurance Formula,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Carb Energy Drink,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sports Fuel Drink,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,G2,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GTQ - Nuestro Sabor,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GTQ - Powder,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Post-Game Protein,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sports Re-fuel Drink,Gatorade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Gx Pods,Gatorade,,,,,,,,,,,,,,,,,,,,
